Activity,100000156_at,393484_at,559856_at,561790_at,559475_at,431764_at,327588_at,494573_at,100004700_at,100148803_at,360208_at,393556_at,550419_at,100331270_at,322412_at,431765_at,568482_at,246092_at,562304_at,447925_at,100005071_at,368352_at,334438_at,322451_at,449556_at,100004231_at,100002805_at,553530_at,555679_at,558919_at,100005016_at,100006523_at,566996_at,558816_at,100124622_at,368924_at,100006428_at,100038777_at,100170833_at,553552_at,541344_at,436823_at,393511_at,550580_at,436734_at,100126128_at,573111_at,492500_at,100151256_at,334459_at,406452_at,553169_at,563265_at,566702_at,564241_at,325886_at
Non-Toxic,7.341077241,3.110128743,2.428821451,4.808372237,3.663144422,9.806561734,2.410840143,5.801479986,6.303023188,7.084676609,8.89721823,5.951885764,10.64251401,6.995892416,10.16679693,7.61825394,6.799998014,10.87296655,6.367398904,6.971852933,2.942496379,7.05821155,6.061961601,10.8260917,7.165413836,8.341132218,6.509756356,6.258522606,5.77797558,7.355692883,3.038430274,3.084471334,3.361504311,4.199648364,2.487599664,7.244930473,1.982251256,5.556523135,3.03246567,3.475210599,5.829566737,4.67474238,5.73917811,6.394795648,5.177504649,1.747871551,4.975121338,6.507743031,6.040321387,7.4128517,5.876975346,5.390837454,4.428047253,8.478359559,5.414138073,7.361822423
Toxic,4.700171877,2.820696302,3.292354484,5.774201072,1.74020437,7.257438758,2.549343402,5.706686687,4.684242915,4.508814058,8.274605865,5.428297706,8.253410807,5.129194449,7.598663423,7.60165541,6.114024782,8.356825047,5.908809195,4.272298553,4.561132468,5.237488107,5.300767447,8.712190219,5.784230369,7.909152718,4.832110589,4.711412771,3.537467799,4.776601488,2.71481942,3.328370315,3.160011214,4.899424496,2.152401117,7.02715939,2.559196906,4.535965582,3.37806234,3.182446316,5.34512749,4.423834519,5.666918087,5.211093329,4.362535642,1.576704913,4.757593049,5.092721049,4.945110232,4.170012501,5.09835761,4.58932846,5.135854734,5.456601772,4.602872944,4.774980879
Toxic,4.643599312,3.470812473,2.414984117,6.649006824,2.3670723,7.118429712,2.147187324,6.808177516,5.962018814,5.057391966,7.216809373,5.199765403,8.959853862,5.119880432,8.262207198,8.543106736,6.567302292,7.866168113,5.586049951,4.574964297,3.30102414,5.884168317,4.642196123,8.929628683,4.919598657,6.865472261,4.23025833,5.640086323,3.47507512,4.581530886,2.915864275,2.901508544,2.81139294,3.751755966,2.312112166,7.655252063,2.480500973,4.410775436,3.136643757,3.343550384,4.618915418,4.291150222,4.778374271,5.378840797,4.144944004,1.976269654,3.960284378,4.545376929,4.810328476,4.836746743,5.370550946,4.458417764,4.194888607,4.847090797,5.446088504,5.726440973
Toxic,6.650295202,3.059738364,2.962132362,5.386647351,2.780654097,9.580458823,2.691769513,5.867767012,6.17903205,6.567627638,8.311207939,5.701399667,10.29709651,6.237911316,9.943311739,7.961164967,6.895210885,10.48593699,5.740191039,6.751992807,4.053137254,6.993576326,5.898125588,10.35211671,7.183052351,8.441328741,6.77256734,5.952911657,5.724562225,7.081674164,3.021258689,3.000490173,3.690318566,4.764326212,2.150530654,8.48380944,2.34258347,5.519682153,3.248016444,3.393853947,5.409904106,4.442774062,5.059928213,6.058496865,4.677057269,1.996257028,4.909314147,6.487054055,5.815976452,7.273310473,5.845263313,5.85948412,4.82914381,8.216502538,8.006186605,7.470640639
Toxic,4.62871862,2.61556632,2.343475569,4.908430102,1.787634674,6.563047267,2.092970185,4.179130623,4.602577687,5.308555551,7.763415181,5.124908894,7.509760116,4.456424622,7.25042241,6.316151741,6.045511308,8.2699708,4.432826935,4.120572931,2.89925787,6.039191475,4.802563859,8.711421243,4.353241107,6.463993503,5.233591974,4.641078851,3.105358625,5.025941197,2.548013272,2.895241628,2.883636343,4.744733359,1.708795493,6.431894226,2.616991247,4.301067296,3.139015313,3.135888198,5.664808644,4.7037485,4.992602732,5.354575952,4.858843738,1.813925747,5.047909441,4.827917439,4.992841251,4.689250721,5.319382216,3.954370827,4.832463094,5.362924317,4.191064872,5.304391365
Toxic,4.119941415,2.801072943,3.643722137,6.041018649,1.786957425,7.143906079,2.093655071,5.903837196,5.006532738,4.47983064,8.325913259,5.757254327,8.286286797,5.496225531,7.456241305,7.765758652,6.02632644,9.099449698,5.244901393,4.1209073,2.823004165,5.868998487,5.111569409,8.920212228,5.715098329,7.627679684,4.891218788,4.717497275,3.532709047,4.886589978,2.898774996,3.123968489,3.47858504,5.382421055,2.041437499,6.800848835,2.435997609,4.709143374,3.274436398,3.806187495,4.602346676,4.556525497,5.507226378,5.384758618,4.199364062,1.942037366,4.739872144,4.756992523,4.706648668,5.006427653,5.369285867,4.712895737,4.680036947,6.087868017,4.954247306,4.994907369
Toxic,5.117460013,2.939233772,4.979587891,4.928738029,2.615979307,6.487288339,2.421010924,6.101043774,6.549312846,5.157260743,7.723452027,5.806033133,8.280660705,3.669842484,7.422515402,8.350709579,6.10287475,9.303154662,5.405998044,4.05301506,5.262949682,5.961921254,5.098458131,8.783506614,6.046236239,7.187333823,5.195541942,5.447381274,3.360030854,4.395622013,3.029049742,2.707754034,3.150331255,4.218209312,2.304120224,7.418325748,2.971545209,4.206127392,3.566784098,3.118003434,5.315614287,4.264639991,5.317789562,5.254705189,4.180604757,1.950752996,4.743913151,5.104353718,5.005107096,5.121395427,4.922884516,4.289814904,4.575794329,5.624119879,5.258696284,5.798427614
Non-Toxic,7.60778502,2.981348226,2.046861901,7.652330175,1.501242653,10.41667116,3.952844623,6.431952642,6.224412165,6.556820183,9.087833543,5.53797026,11.10893832,7.534891349,10.69359454,7.803062564,6.515584002,11.21623733,5.952774917,7.387428329,2.613208471,7.197236514,6.756342209,10.69517829,7.4848459,8.60235565,7.334900974,6.540261523,6.32199198,8.071537658,2.400893263,2.739294055,3.368619609,4.037118927,2.146731825,7.831988472,1.943897333,5.322336359,2.88852303,3.169960242,4.774991274,4.720421062,5.676559885,5.774967261,4.904920114,1.772847447,4.317059428,6.674784209,5.921889361,7.50834556,6.338151897,5.478588076,4.410943981,8.673369724,4.902253613,8.554673725
Toxic,5.452361718,3.006252799,3.936187535,7.214655625,1.977809713,5.792945852,2.505717847,6.479491275,5.343411126,6.314351278,6.782763766,4.990827822,7.788498222,3.693279698,7.262151907,7.805226628,6.341364198,8.475159252,4.68781397,4.135189978,5.425732383,5.617187595,4.971338004,8.087473903,5.172917723,4.272571481,4.370460346,4.136746986,3.760547928,4.932873974,2.906891704,2.595175869,2.860929562,4.215360208,2.187048869,4.376956284,2.00950928,4.476849078,3.020561957,3.250353556,5.065262968,4.648548013,4.738351907,4.649688359,4.39124518,1.664497604,4.950402726,4.640353351,4.291169374,2.647190833,4.650642973,4.676862938,4.251117626,4.391699371,6.499478923,5.413179976
Toxic,6.531041949,3.101753787,2.357097808,6.842184159,2.522794072,8.198308043,2.693581515,5.6548606,7.377693761,6.964185977,8.815441787,6.201031791,9.465399854,6.521533968,8.56470405,7.276948348,6.86174044,9.384693832,5.366726512,5.93643302,4.250998167,6.892298686,5.674532243,9.921287873,6.814046655,8.980803359,6.756707525,6.370090071,4.781748221,6.843218721,2.916441055,2.793288143,3.540814947,4.471805606,2.428866323,6.228208158,1.898888781,5.429874523,4.084787781,3.537956096,5.384383982,4.772918312,4.613339316,5.97252916,4.742871305,1.959883427,5.389246194,5.830402785,5.320526831,6.458409094,5.338265116,5.23716965,4.662216685,7.432398255,5.163388093,5.053942416
