Activity,100000156_at,393484_at,559856_at,561790_at,559475_at,431764_at,327588_at,494573_at,100004700_at,100148803_at,360208_at,393556_at,550419_at,100331270_at,322412_at,431765_at,568482_at,246092_at,562304_at,447925_at,100005071_at,368352_at,334438_at,322451_at,449556_at,100004231_at,100002805_at,553530_at,555679_at,558919_at,100005016_at,100006523_at,566996_at,558816_at,100124622_at,368924_at,100006428_at,100038777_at,100170833_at,553552_at,541344_at,436823_at,393511_at,550580_at,436734_at,100126128_at,573111_at,492500_at,100151256_at,334459_at,406452_at,553169_at,563265_at,566702_at,564241_at,325886_at
Toxic,4.700171877,2.820696302,3.292354484,5.774201072,1.74020437,7.257438758,2.549343402,5.706686687,4.684242915,4.508814058,8.274605865,5.428297706,8.253410807,5.129194449,7.598663423,7.60165541,6.114024782,8.356825047,5.908809195,4.272298553,4.561132468,5.237488107,5.300767447,8.712190219,5.784230369,7.909152718,4.832110589,4.711412771,3.537467799,4.776601488,2.71481942,3.328370315,3.160011214,4.899424496,2.152401117,7.02715939,2.559196906,4.535965582,3.37806234,3.182446316,5.34512749,4.423834519,5.666918087,5.211093329,4.362535642,1.576704913,4.757593049,5.092721049,4.945110232,4.170012501,5.09835761,4.58932846,5.135854734,5.456601772,4.602872944,4.774980879
Toxic,4.643599312,3.470812473,2.414984117,6.649006824,2.3670723,7.118429712,2.147187324,6.808177516,5.962018814,5.057391966,7.216809373,5.199765403,8.959853862,5.119880432,8.262207198,8.543106736,6.567302292,7.866168113,5.586049951,4.574964297,3.30102414,5.884168317,4.642196123,8.929628683,4.919598657,6.865472261,4.23025833,5.640086323,3.47507512,4.581530886,2.915864275,2.901508544,2.81139294,3.751755966,2.312112166,7.655252063,2.480500973,4.410775436,3.136643757,3.343550384,4.618915418,4.291150222,4.778374271,5.378840797,4.144944004,1.976269654,3.960284378,4.545376929,4.810328476,4.836746743,5.370550946,4.458417764,4.194888607,4.847090797,5.446088504,5.726440973
Toxic,9.012758151,5.091272717,2.405385203,6.087805629,2.680084824,9.293651281,2.125244298,5.738142752,4.257576114,7.717723662,8.420152285,6.627941748,10.42231856,5.795335124,9.408079535,7.424259867,7.058736113,10.06120685,5.074195869,6.590037677,2.520187786,7.231289085,4.19986285,10.11719597,6.776176935,9.18036655,6.854848766,4.068133038,5.347316544,7.631230817,2.71795967,3.306559575,3.207625018,3.434378311,2.965805524,7.293761678,2.000118985,5.348699612,3.198088696,3.292892049,5.714556735,5.064911102,4.282567597,6.309121262,5.399444122,1.723450621,4.694256269,6.482463377,6.440562779,8.075264954,5.727067046,5.584520851,5.105269975,8.394733105,4.533657798,7.038103918
Non-Toxic,5.197006766,2.815464567,2.525151759,3.518195344,1.723821854,6.94274217,2.316931208,6.4744993,4.338378268,3.506606057,8.166139691,5.257512142,8.400247927,5.235763853,7.713721446,7.625926583,6.100954,8.817410189,4.7753266,4.545045179,3.210530464,6.063117293,5.34991111,8.637111148,5.671220054,7.875420448,5.502459434,5.115610751,3.909180453,5.319737807,2.458925755,2.475179022,3.055151709,3.15147911,2.265963307,7.279707449,1.609541587,4.742775353,2.934524683,2.474728552,4.703115439,4.461410906,5.272690942,5.247169946,4.220515775,1.786666051,4.428323989,5.089947178,4.912285324,5.635284501,5.367854476,4.181098487,4.770220572,5.526111576,5.03705915,5.357431014
Non-Toxic,4.96861095,2.700458216,2.615125738,8.747033996,2.904562368,6.997115874,2.467580533,6.053391159,4.701157781,6.189420824,7.404124295,5.522645079,8.540737202,4.524196676,7.561979922,7.55832541,5.767061203,8.860052911,5.43103864,5.501841638,4.186423925,6.302376032,4.729302334,8.788276665,5.408210055,7.245109658,5.582795646,4.48983547,3.441221546,5.949278023,3.017775996,2.590563268,2.804966663,4.156850837,2.162874143,8.285553528,1.68145004,4.093792655,3.274315144,3.281371848,4.732544765,4.474413376,4.790744476,5.311662382,4.557493289,1.618988094,4.721968025,5.297547863,5.117650935,4.5191048,5.041277835,4.169356129,4.471837289,5.110712318,4.530953692,5.013626238
Toxic,4.270488321,2.901879615,2.69828116,4.799384145,1.816379576,7.04570299,2.525540387,6.915053182,7.793818542,5.552127849,8.417368865,5.119172021,8.962994548,4.028228813,8.151684072,7.952747727,5.575601467,9.619137528,4.592727548,4.883343294,4.36649032,5.590745106,4.987626861,9.764708385,5.910186741,8.300007884,6.05729005,5.374907801,3.580869972,5.566932637,2.998854381,2.873785704,2.964905667,4.452282393,1.953775421,7.836240699,2.360306026,3.805142555,4.144098478,3.364402093,4.816917117,4.825552116,4.058818927,5.477548988,4.479738349,1.691021929,4.99717465,5.348330337,5.001861695,4.812829909,5.777362506,4.677362877,4.676850011,6.420002935,6.446818248,6.097180643
Toxic,7.752922984,2.59483222,4.83361222,8.874626964,3.677824304,10.10207459,2.27933693,5.224992664,6.471033175,7.688518175,8.306885406,6.122475437,11.10436899,5.528006828,10.40838939,7.361131402,6.837511581,10.67616134,5.663269121,7.386886342,4.503426436,7.205293378,5.946513348,10.57075163,7.475566776,9.40498585,6.427310703,5.145879069,5.828800448,7.861982365,2.592313724,2.604943115,3.932792979,4.736146423,2.311819349,3.683687211,1.767004253,4.911814539,2.986543299,3.169788722,6.008905746,4.928193862,5.84905392,6.310121619,4.965407211,1.997922914,5.488242093,6.63495471,6.455463114,7.462804064,6.265440928,5.555535371,4.491574645,8.362036969,4.967389322,8.005419796
Toxic,5.200564801,2.848190766,2.778211963,5.163923365,3.118582188,7.281632592,2.085475802,6.451307657,4.925615236,5.770764343,7.979084595,5.3022137,8.326468045,4.560356476,7.69335804,7.56416945,5.966791633,9.006141215,4.823505462,4.278995832,4.476224546,5.436649111,4.76125722,8.987202826,5.708416506,7.958492721,6.055694279,4.916642511,3.771265925,4.940058702,2.5028441,2.726142395,2.815676054,4.013346158,2.274253502,6.791150925,2.025047253,4.451704533,3.282026588,3.631822012,4.80102434,4.71709555,5.056078929,5.478332364,4.27182229,1.77085284,4.680087134,4.778600171,4.906818468,6.044610799,5.157185101,4.582668764,4.199611468,6.064234409,4.21110229,4.884279112
Toxic,7.222567236,3.311383237,2.682919695,5.350463903,1.618062078,10.02352539,2.70409764,6.286757417,4.4978416,6.752672618,8.7916908,5.764458467,11.03475103,5.979736103,10.34024539,8.151626216,6.623554844,10.60630751,5.48698267,7.145009019,2.024591515,6.833480401,6.303784951,10.92551497,7.062157062,8.562852845,6.59097427,5.893668228,5.618725136,7.62890619,3.805004281,3.882582445,4.516863348,4.474776399,2.704247473,7.093561051,2.282589126,5.701828893,3.547258657,3.479358654,5.672484857,5.180213884,5.452452943,6.069382324,5.149672641,2.289335181,4.499611322,6.733856326,5.994567328,8.108729884,6.015749066,5.938719592,4.694848803,8.048082428,4.89042355,8.096871747
Toxic,4.119941415,2.801072943,3.643722137,6.041018649,1.786957425,7.143906079,2.093655071,5.903837196,5.006532738,4.47983064,8.325913259,5.757254327,8.286286797,5.496225531,7.456241305,7.765758652,6.02632644,9.099449698,5.244901393,4.1209073,2.823004165,5.868998487,5.111569409,8.920212228,5.715098329,7.627679684,4.891218788,4.717497275,3.532709047,4.886589978,2.898774996,3.123968489,3.47858504,5.382421055,2.041437499,6.800848835,2.435997609,4.709143374,3.274436398,3.806187495,4.602346676,4.556525497,5.507226378,5.384758618,4.199364062,1.942037366,4.739872144,4.756992523,4.706648668,5.006427653,5.369285867,4.712895737,4.680036947,6.087868017,4.954247306,4.994907369
