activity,ATS5m,AATS1v,AATS7v,AATS8v,AATS6e,AATS1p,AATS8p,AATS1i,ATSC4m,ATSC8v,ATSC1e,AATSC4m,AATSC8v,AATSC0p,AATSC6i,MATS4m,MATS8v,MATS6i,MATS4s,GATS6c,GATS3e,GATS4e,GATS1i,GATS4s,GATS5s,VE1_Dzs,VE2_Dzs,VE3_Dzs,BCUTp.1l,BCUTp.1h,nBondsT,SpMax1_Bhm,SpMax2_Bhm,SpMax4_Bhm,SpMin1_Bhm,SpMin2_Bhm,SpMin4_Bhm,SpMax1_Bhv,SpMax2_Bhv,SpMax4_Bhv,SpMin1_Bhv,SpMin2_Bhv,SpMin4_Bhv,SpMax1_Bhe,SpMax2_Bhe,SpMax4_Bhe,SpMin1_Bhe,SpMin2_Bhe,SpMin4_Bhe,SpMin6_Bhe,SpMax1_Bhp,SpMax2_Bhp,SpMax3_Bhp,SpMax4_Bhp,SpMin1_Bhp,SpMin2_Bhp,SpMin4_Bhp,SpMax2_Bhi,SpMax4_Bhi,SpMin1_Bhi,SpMin2_Bhi,SpMin7_Bhi,SpMin2_Bhs,SpMin4_Bhs,SpMin6_Bhs,SpMin8_Bhs,C1SP1,C3SP2,SCH.4,SCH.5,SCH.6,SCH.7,VCH.4,VCH.5,VCH.6,VCH.7,VC.5,SPC.6,VPC.4,VPC.6,ASP.1,ASP.6,ASP.7,VE3_Dt,ntsC,naasC,ntN,StsC,SdssC,StN,SdO,minHBa,minsssCH,mintsC,mindssC,mintN,minsF,maxHBa,maxtsC,maxtN,maxsF,gmax,MAXDP,MAXDP2,SIC2,CIC2,BIC2,BIC4,ZMIC1,ZMIC2,ZMIC3,MLogP,MDEC.22,MDEO.11,MDEN.12,MDEN.13,MDEN.22,TopoPSA,MWC7,MWC8,MWC9,MWC10,SRW5,SRW7,SRW8,SRW10,TSRW,WTPT.4,MACCSFP41
Inhibitor,0.155348866,0.295924501,0.427236703,0.679886859,0.094017217,0.292368027,0.607255216,0.316239964,0.43035696,0.270519012,0.78270693,0.434043527,0.184695608,0.209993206,0.73420656,0.412687846,0.225192158,0.609548542,0.385061656,0.306239275,0.456839838,0.578974313,0.54805998,0.539264705,0.362514859,0.35167773,0.225927847,0.970388725,0.344708104,0.489754108,0.25,0.137757336,0.16622478,0.683832745,0.756026798,0.93473213,0.938778004,0.774012494,0.799553821,0.852608934,0.762154105,0.864698705,0.926978269,0.751932908,0.752664335,0.882548239,0.736918211,0.815794173,0.895763064,0.811756827,0.666200659,0.725912641,0.841687696,0.847888039,0.762929309,0.850765661,0.92211085,0.73858931,0.899908472,0.735101931,0.79510172,0.684153024,0.874683715,0.951144025,0.774425745,0.706201342,0.25,0.625,0.28530802,0.312033443,0.502859567,0.405481533,0.333643366,0.353349405,0.397742293,0.204316703,0.074612123,0.301366813,0.272120804,0.170675564,0.179873826,0.212787196,0.207506631,0.970189048,0.25,0.666666667,0.25,0.287039293,0.907025879,0.234644588,0.041470271,0.341834137,0.895555694,0.745358106,0.583153327,0.887279899,0,0.845664301,0.708229563,0.887279899,0,0.799693602,0.795845288,0.795845288,0.562999844,0.376254283,0.569945812,0.691225388,0.135444653,0.0998032,0.089872625,0.764705882,0.814940092,0,0.017418974,0.097212098,0.060708313,0.051560803,0.738478433,0.751285799,0.747785699,0.741790681,0.491856045,0.678176857,0.698381105,0.757412309,0.761473857,0.03113841,1
Inhibitor,0.150386454,0.334201901,0.423115205,0.687383997,0.099584761,0.309722267,0.605965104,0.335134853,0.423634813,0.445843368,0.778234983,0.429224436,0.25825273,0.199047395,0.679124792,0.393167184,0.295937049,0.4967921,0.347979914,0.226275076,0.508982377,0.59995369,0.555739586,0.588815868,0.398996762,0.397281514,0.248327051,0.973471969,0.344686525,0.399891125,0.25,0.152635237,0.168612635,0.675154079,0.627832096,0.913242273,0.890619648,0.82169088,0.802413942,0.818535766,0.674545259,0.849488766,0.883928147,0.835539055,0.761926393,0.874519379,0.657156097,0.810678249,0.84905352,0.823848235,0.696226409,0.727771861,0.902057604,0.809987835,0.691775831,0.842276933,0.886681633,0.747689699,0.906453924,0.661153101,0.791316384,0.765909253,0.835472664,0.894428532,0.868317511,0.766143113,0.25,0.625,0,0.350639581,0.449875286,0.373310519,0,0.379824402,0.295367733,0.144054306,0.072896571,0.297936608,0.243098412,0.142126429,0.196147465,0.234886126,0.223999095,0.965317283,0.25,0.583333333,0.25,0.285494888,0.905790172,0.234257021,0.041054745,0.338855047,0.89065814,0.741347733,0.569731711,0.885814363,0,0.83659843,0.704418958,0.885814363,0,0.787927356,0.775353368,0.775353368,0.537947014,0.39365993,0.525233225,0.635860461,0.151678356,0.117566502,0.108825382,0.735294118,0.750871921,0,0.024587823,0.094619308,0.126278379,0.064523915,0.735803218,0.746331888,0.741244534,0.733697179,0.624492146,0.757912539,0.682072462,0.738158603,0.747442091,0.031066312,1
Inhibitor,0.166391981,0.312591216,0.371592945,0.609927442,0.076410004,0.297153688,0.555477245,0.310592712,0.330584806,0.609192164,0.777040713,0.388848109,0.354250073,0.206981919,0.657622352,0.233542945,0.391779013,0.451741579,0.286636985,0.13448208,0.544925101,0.749432529,0.541034303,0.668731795,0.374751028,0.259454655,0.157908413,0.959296446,0.344765814,0.422048431,0.25,0.13685921,0.166864107,0.752772313,0.651034486,0.920523116,0.890714555,0.756216011,0.799605396,0.922752023,0.697226943,0.851791324,0.883563363,0.741638665,0.756166139,0.946189467,0.689861954,0.812273909,0.848744596,0.771479258,0.646560716,0.725779763,0.874196614,0.915765733,0.712982211,0.84045543,0.885897906,0.742803668,0.956611376,0.695777892,0.792581362,0.725203277,0.835216445,0.875077094,0.794891631,0.754996024,0.25,0.75,0.232953023,0.140255832,0.481228825,0.449929933,0.235921486,0.07596488,0.370477761,0.209926657,0.100608588,0.342093731,0.288132131,0.182945117,0.171729543,0.216026732,0.197501535,0.947345503,0.25,0.75,0.25,0.285484968,0.912282548,0.234709099,0.080137772,0.338914781,0.841780885,0.741321973,0.571124577,0.88752384,0,0.850643399,0.704394482,0.88752384,0,0.806155782,0.807099724,0.807099724,0.589104306,0.357605025,0.597308485,0.635402609,0.134192154,0.102413924,0.100795684,0.764705882,0.602275321,0.010153326,0.017418974,0.097212098,0.060708313,0.068727624,0.766601692,0.777888433,0.771946621,0.764242669,0.806495691,0.840770788,0.714514738,0.773335969,0.788528494,0.06119747,1
Inhibitor,0.15304747,0.390395805,0.4128975,0.662887659,0.164297924,0.340086872,0.585964187,0.32494637,0.38021334,0.558108616,0.758976768,0.401768405,0.326302615,0.258343096,0.634862351,0.339801245,0.363722531,0.426046603,0.30047756,0.099192848,0.72936735,0.568687812,0.387785476,0.649080897,0.389922538,0.308436294,0.209804093,0.968048051,0.344406393,0.452189641,0.25,0.155325224,0.172854913,0.692055229,0.576642548,0.88186335,0.881236433,0.7424087,0.810546047,0.803559091,0.661911834,0.843070268,0.879200208,0.72509703,0.774426222,0.830890003,0.656322681,0.810663452,0.846065772,0.697408821,0.638773132,0.731257473,0.811329709,0.793947014,0.683308457,0.843626387,0.883113959,0.758362227,0.848170659,0.670226933,0.794829874,0.594006849,0.824736304,0.881618934,0.732406373,0.672480896,0.25,0.625,0,0.140255832,0.378474299,0.354324451,0,0.07596488,0.24173077,0.140716462,0.097171142,0.335322763,0.273616913,0.165660112,0.199354121,0.233676576,0.206966752,0.980685654,0.25,0.75,0.25,0.27101966,0.902789002,0.232923135,0.041184083,0.253227439,0.785397761,0.703759748,0.537134552,0.880770437,0.986970575,0.98620018,0.668703345,0.880770437,0.986970575,0.982089742,0.962735097,0.959289309,0.740967802,0.217342189,0.75291503,0.690160575,0.092919858,0.076968098,0.097721409,0.588235294,0.529403439,0,0.017418974,0.068739333,0.060708313,0.057584778,0.725165224,0.741451045,0.739184816,0.735666392,0.491856045,0.678176857,0.677076011,0.74529137,0.747362821,0.067500668,1
Inhibitor,0.162522159,0.277846015,0.310309719,0.573285061,0.117666306,0.263535965,0.51968052,0.389914315,0.455532655,0.600217911,0.803550132,0.445169554,0.350654033,0.191735637,0.618773707,0.457977688,0.38831461,0.375529517,0.416714498,0.206687339,0.563957806,0.487290348,0.549277718,0.525629051,0.490655041,0.383430293,0.260816404,0.974253735,0.344777774,0.47034829,0.25,0.131177296,0.165569708,0.66604307,0.6267269,0.910973281,0.809855229,0.70840711,0.798049116,0.810407179,0.697800599,0.852076507,0.737549153,0.697411528,0.748368609,0.869049994,0.678024555,0.811590473,0.671576176,0.805174064,0.601799294,0.724570019,0.691403802,0.800083113,0.723753857,0.842088642,0.751890266,0.733130179,0.897254734,0.681505213,0.791933244,0.738024711,0.851778415,0.856803187,0.860542517,0.758874019,0.25,0.625,0,0.38216136,0.38269391,0.259407149,0,0.371804577,0.257250065,0.118484937,0.073417816,0.286276359,0.231254634,0.151409543,0.238324046,0.215008253,0.214299662,0.951552583,0.25,0.666666667,0.25,0.285641807,0.906279389,0.234128015,0.041573909,0.340248522,0.891402409,0.74172924,0.575045331,0.885326543,0,0.847925454,0.704781461,0.885326543,0,0.802628265,0.800956253,0.800956253,0.507912919,0.412925298,0.505009368,0.588636123,0.128115079,0.1070547,0.104620981,0.647058824,0.631628816,0,0.025572367,0.106490517,0.229463043,0.064523915,0.698689416,0.713361135,0.712302059,0.708368811,0.624492146,0.747337236,0.637423552,0.699559334,0.706047757,0.031088792,1
Inhibitor,0.142294958,0.308868709,0.336852599,0.550940061,0.095464552,0.291832692,0.508635356,0.317257895,0.367699376,0.965432865,0.777598623,0.398900802,0.5365707,0.211732938,0.667048355,0.273827234,0.572004725,0.470617943,0.148627999,0.234493084,0.63326125,0.9180158,0.559168563,0.874344729,0.234407654,0.469450337,0.319328834,0.980024939,0.548249401,0.437752861,0,0.144177069,0.177991948,0.746208283,0.781654097,0.700492675,0.825009545,0.884082631,0.773842829,0.90039074,0.779071079,0.630144042,0.781420074,0.805948284,0.791475063,0.923240227,0.808818833,0.580661855,0.745914628,0.849423793,0.776087614,0.68660459,0.863565065,0.88757451,0.7729199,0.645960451,0.800641312,0.791336252,0.931315042,0.812608864,0.558092112,0.748165853,0.67325803,0.810165615,0.797478798,0.758795912,0,0.5,0.232953023,0.442731072,0.698514904,0.609225533,0.235921486,0.429287073,0.487955644,0.251336838,0.09194729,0.335821866,0.274485364,0.168622202,0.09605035,0.210002908,0.197987122,0.978495866,0,0.25,0,0,0.929704337,0,0.078621521,0.332453212,0.84848594,0,0.56334681,0,0,0.824498651,0,0,0,0.772223515,0.748003793,0.748003793,0.537885069,0.388665994,0.535760258,0.688825767,0.145759507,0.116203163,0.077176048,0.705882353,0.604610931,0.013960823,0,0,0.012141663,0.044269681,0.755828967,0.771689841,0.768664649,0.764018962,0.874360481,0.91157884,0.688535136,0.750424096,0.779487696,0.060549402,0
Inhibitor,0.092803674,0.436080807,0.515290934,0.732708473,0.515470343,0.304193515,0.55472893,0.480306193,0.395209584,0.608183476,0.825653291,0.374183334,0.382464322,0.281171841,0.64835504,0.288542326,0.426357116,0.465238984,0.353657537,0.406326755,0.295822398,0.369260935,0.211050077,0.294872716,0.248103792,0.311964447,0.27749755,0.974777286,0.05056826,0.257343964,0,0.109442361,0.175873862,0.486859373,0.399049776,0.815947875,0.455177834,0.464967628,0.727376617,0.385056791,0.504908507,0.756507279,0.499922493,0.437535226,0.666613689,0.57012181,0.494718327,0.719019101,0.381349209,0.5137305,0.3873449,0.665946788,0.501176032,0.335995077,0.566121384,0.749590478,0.624853261,0.636196197,0.565215977,0.51615331,0.704211053,0.472747216,0.769006659,0.503914531,0.481638171,0.434813587,0,0.25,0,0,0.117876507,0.116684449,0,0,0.064553381,0.046983835,0.007478671,0.134185426,0.091350178,0.044731644,0.452588642,0.430979605,0.405865682,0.974502853,0,0.416666667,0,0,0.893511887,0,0.069461343,0.262469559,0.00703881,0,0.436371333,0,0.783368809,0.770559984,0,0,0.783368809,0.702218582,0.544293168,0.539145757,0.764499817,0.172544868,0.774255853,0.868782588,0.093662074,0.076039595,0.08904776,0.294117647,0.337467005,0.066484274,0,0,0,0.057041715,0.451303747,0.46660292,0.47048238,0.471714049,0,0,0.427369266,0.484647818,0.475228691,0.123995975,0
Inhibitor,0.121760102,0.272359919,0.388081973,0.629411691,0.372193471,0.175691098,0.504757522,0.463204947,0.440049311,0.568972951,0.833973876,0.431226657,0.330848022,0.172214999,0.616873733,0.408990519,0.367702877,0.361002003,0.369037262,0.661848269,0.42704997,0.375195729,0.593756236,0.40080748,0.182687582,0.241967828,0.192968769,0.966196084,0.232211179,0.350599749,0,0.096380029,0.144196665,0.58051185,0.423008845,0.855633895,0.682437262,0.48088601,0.70005066,0.62395215,0.566279148,0.771862277,0.7309797,0.475186776,0.647338063,0.732018377,0.512572549,0.717130966,0.64032573,0.608451181,0.394809044,0.636274338,0.51637636,0.578009659,0.628566831,0.763193411,0.780320845,0.627958417,0.724789463,0.525608927,0.691816913,0.582197894,0.708477404,0.629401386,0.674119164,0.522834827,0,0.25,0,0,0.211937123,0.10457685,0,0,0.126748929,0.043628512,0.023963333,0.171688818,0.108950777,0.064741967,0.411158743,0.336242156,0.334960815,0.937994309,0,0.333333333,0,0,0.875218838,0,0.109064279,0.335288393,0.785397761,0,0.353872846,0,0,0.779910488,0,0,0,0.714354244,0.647219534,0.647219534,0.629439748,0.29177605,0.646938686,0.718054561,0.109666878,0.083489062,0.080204498,0.382352941,0.533756301,0.120787222,0,0,0,0.086749266,0.532828992,0.547814374,0.551321606,0.551386227,0,0,0.497212841,0.556924798,0.548673816,0.19102392,0
Inhibitor,0.124395331,0.38374688,0.531616005,0.740640636,0.2647807,0.315963558,0.654640532,0.408556591,0.339264063,0.350871338,0.839921408,0.34347912,0.171852369,0.411098374,0.718045733,0.373424209,0.203484891,0.57766764,0.28601556,0.499741896,0.451940148,0.539510056,0.469247228,0.574492821,0.416068937,0.052946457,0.042224674,0.92924115,0.195494499,0.427876756,0,0.996573796,0.172457742,0.67180919,0.403803044,0.805737001,0.615501856,0.466198499,0.738058837,0.603506785,0.514132667,0.760007934,0.659100335,0.429144975,0.684409859,0.675905888,0.500781772,0.72472286,0.621657929,0.608451181,0.420005078,0.667234694,0.652808369,0.587284025,0.565367654,0.769431465,0.711148814,0.650619805,0.680633195,0.515229614,0.712843389,0.507233679,0.712970128,0.644015907,0.592247966,0.501527429,0,0.25,0,0,0.209260874,0.124935586,0,0,0.126031934,0.064929246,0.020182995,0.174855822,0.13940901,0.067540662,0.378241133,0.335530643,0.337603068,0.900762211,0,0.333333333,0,0,0.889527805,0,0.111405982,0.318273569,0.785397761,0,0.426082952,0,0,0.807290097,0,0,0,0.749889191,0.709106667,0.705969963,0.579810958,0.323252045,0.575123357,0.588124445,0.126097385,0.129805714,0.141377211,0.382352941,0.510590913,0.110777842,0,0,0,0.077466913,0.536747123,0.549493741,0.550173429,0.547996448,0,0,0.509932059,0.565228149,0.557961286,0.155429333,0
Inhibitor,0.148726588,0.348613427,0.496551798,0.717906598,0.189787018,0.331135723,0.656221346,0.340482065,0.440424131,0.374459728,0.772106413,0.435178469,0.191825917,0.244885111,0.743516536,0.432658105,0.231187956,0.62688501,0.344279243,0.521497797,0.427630711,0.510867829,0.568146316,0.581746965,0.220018675,0.132118564,0.092592818,0.945395272,0.341785789,0.444330444,0.25,0.156561718,0.173728992,0.684455302,0.652143401,0.907177379,0.844783025,0.743635378,0.810039895,0.816432919,0.709328604,0.849731817,0.85271786,0.711198647,0.776407837,0.879916348,0.688708754,0.814846607,0.824148664,0.808061234,0.641677535,0.733210398,0.763938597,0.805648183,0.72367034,0.843625664,0.862860956,0.766261333,0.906598425,0.694013219,0.795785541,0.69892267,0.843773077,0.852473899,0.806156018,0.56669176,0.25,0.625,0.518261043,0.631151245,0.635952401,0.436707279,0.469453632,0.730691156,0.450532746,0.192475918,0.067602841,0.252344782,0.238126721,0.127798514,0.217056651,0.239096104,0.222859252,0.906522643,0.25,0.666666667,0.25,0.282668285,0.906160488,0.232664058,0.040257185,0.255310461,0.87019347,0.734007861,0.573753898,0.879790767,0,0.81919739,0.697444707,0.879790767,0,0.765343211,0.736021157,0.729506465,0.598346445,0.331728128,0.596214743,0.701347854,0.122243446,0.093109276,0.089213408,0.617647059,0.537747872,0,0.018030351,0.103109,0.060708313,0.051560803,0.68791608,0.702683028,0.701706647,0.69802636,0.491856045,0.678176857,0.670846001,0.731878029,0.73502848,0.030912555,1
